arm,feature,column,n_buckets,tau_c
A1 one-vs-rest,ACTIVIT2,ACTIVIT2__y=1,2,0.0021363236947850753
A1 one-vs-rest,VOCATION,VOCATION__y=1,2,0.006136636773437002
A1 one-vs-rest,CARACT1,CARACT1__y=1,2,0.0003178012277487004
A1 one-vs-rest,CARACT3,CARACT3__y=1,1,
A1 one-vs-rest,INDEM1,INDEM1__y=1,2,0.0005683739754465337
A1 one-vs-rest,TYPBAT1,TYPBAT1__y=1,1,
A1 one-vs-rest,INDEM2,INDEM2__y=1,2,0.002371374562700013
A1 one-vs-rest,FRCH1,FRCH1__y=1,2,0.0003462229277262727
A1 one-vs-rest,FRCH2,FRCH2__y=1,2,0.0006310446612896972
A1 one-vs-rest,DEROG2,DEROG2__y=1,2,0.0008172801883524487
A1 one-vs-rest,DEROG3,DEROG3__y=1,2,0.0004964954617223806
A1 one-vs-rest,DEROG4,DEROG4__y=1,2,0.0017413037818497343
A1 one-vs-rest,DEROG5,DEROG5__y=1,2,0.0014639788701714927
A1 one-vs-rest,DEROG8,DEROG8__y=1,2,0.0004926831972529222
A1 one-vs-rest,DEROG12,DEROG12__y=1,2,0.004072220922850747
A1 one-vs-rest,KAPITAL35,KAPITAL35__y=1,2,0.0007106060971070566
A1 one-vs-rest,KAPITAL37,KAPITAL37__y=1,2,0.0013651372495633515
A1 one-vs-rest,KAPITAL40,KAPITAL40__y=1,2,0.006659332889149479
A1 one-vs-rest,KAPITAL41,KAPITAL41__y=1,2,0.004232445327892225
A1 one-vs-rest,KAPITAL42,KAPITAL42__y=1,2,0.001838620496670092
A1 one-vs-rest,KAPITAL43,KAPITAL43__y=1,2,0.0023340069360013576
A1 one-vs-rest,RISK6,RISK6__y=1,2,0.0014591390015462667
A1 one-vs-rest,RISK8,RISK8__y=1,2,0.0006092704084860593
A1 one-vs-rest,RISK9,RISK9__y=1,3,0.0003094637976605404
A1 one-vs-rest,RISK10,RISK10__y=1,2,0.0024253854153987817
A1 one-vs-rest,RISK11,RISK11__y=1,2,0.0037322069155998304
A1 one-vs-rest,RISK12,RISK12__y=1,2,0.0008436599524354784
A1 one-vs-rest,RISK13,RISK13__y=1,2,0.0009951641181154853
A1 one-vs-rest,EQUIPEMENT2,EQUIPEMENT2__y=1,2,0.001109553595607904
A1 one-vs-rest,EQUIPEMENT5,EQUIPEMENT5__y=1,1,
