config,feature,measure,association,rank,selected
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL32'),KruskalEtaSquared,0.003341445707629702,0.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL_MAX'),KruskalEtaSquared,0.0029121021994039553,1.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE10'),KruskalEtaSquared,0.00262500042135815,2.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE1'),KruskalEtaSquared,0.0025697901257601178,3.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE7'),KruskalEtaSquared,0.0024298458501062657,4.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL21'),KruskalEtaSquared,0.0019929412001957144,5.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT4'),KruskalEtaSquared,0.001928589783163783,6.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBSINSTRT'),KruskalEtaSquared,0.0016369100044172627,7.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL23'),KruskalEtaSquared,0.0014213548565034397,8.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('EQUIPEMENT6'),KruskalEtaSquared,0.001197527561743192,9.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBSINCONJ'),KruskalEtaSquared,0.001060261279335841,10.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE17'),KruskalEtaSquared,0.0009547589594060219,11.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL8'),KruskalEtaSquared,0.0008972874314890825,12.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('TAILLE3'),KruskalEtaSquared,0.0008145975640681762,13.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL14'),KruskalEtaSquared,0.0007977500533795414,14.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL24'),KruskalEtaSquared,0.0006514317580642939,15.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL27'),KruskalEtaSquared,0.0006393106037321964,16.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL3'),KruskalEtaSquared,0.0005956810072684957,17.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL10'),KruskalEtaSquared,0.000556993550862698,18.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CA3_CA_TOT'),KruskalEtaSquared,0.0005070385699661183,19.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT2'),KruskalEtaSquared,0.0003064475890290031,20.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('EQUIPEMENT1'),KruskalEtaSquared,0.00030441199421728644,21.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CA3'),KruskalEtaSquared,0.00025160134188148905,22.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG1'),KruskalEtaSquared,0.00023358538593199474,23.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE13'),KruskalEtaSquared,0.0001871255193532899,24.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('RISK5'),KruskalEtaSquared,0.00018017979022040721,25.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CARACT5'),KruskalEtaSquared,0.00017954242680609563,26.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT7'),KruskalEtaSquared,0.00017565399835500756,27.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT8'),KruskalEtaSquared,0.00014804594058686393,28.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('ZONE_VENT'),KruskalEtaSquared,0.00013836856342647395,29.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL20'),KruskalEtaSquared,0.00013722797613691486,30.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL17'),KruskalEtaSquared,0.00012112046689236722,31.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL25'),KruskalEtaSquared,0.00011634604132700082,32.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('RISK2'),KruskalEtaSquared,0.00011025642272042073,33.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT6'),KruskalEtaSquared,9.83866507061866e-05,34.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('RISK1'),KruskalEtaSquared,9.240934578108191e-05,35.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG11'),KruskalEtaSquared,8.8119505981097e-05,36.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('NBBAT9'),KruskalEtaSquared,8.464475550190463e-05,37.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL1'),KruskalEtaSquared,8.198152130761628e-05,38.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DUREE_REQANEUF'),KruskalEtaSquared,7.885825837759013e-05,39.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG10'),KruskalEtaSquared,7.86970590316749e-05,40.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG8_formatted'),KruskalEtaSquared,7.564087804622105e-05,41.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG7'),KruskalEtaSquared,6.409434001693204e-05,42.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('EQUIPEMENT4'),KruskalEtaSquared,6.020367985415876e-05,43.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG6'),KruskalEtaSquared,5.83272049924257e-05,44.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('RISK4'),KruskalEtaSquared,5.6665736753644014e-05,45.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('TYPBAT2'),KruskalEtaSquared,5.003733397563801e-05,46.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('ANCIENNETE'),KruskalEtaSquared,4.079279992624761e-05,47.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL19'),KruskalEtaSquared,3.2765409565546675e-05,48.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('SURFACE21'),KruskalEtaSquared,3.265617623257874e-05,49.0,True
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CARACT2'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG9'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('DEROG15'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CA1'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('CA2'),KruskalEtaSquared,,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL2'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL4'),KruskalEtaSquared,0.0,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL5'),KruskalEtaSquared,3.945069325510123e-06,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL6'),KruskalEtaSquared,0.001826409083032621,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL7'),KruskalEtaSquared,0.0013517223443324296,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL9'),KruskalEtaSquared,0.000627524869529235,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL11'),KruskalEtaSquared,6.513003788003951e-05,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL12'),KruskalEtaSquared,0.0026577806019342028,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL13'),KruskalEtaSquared,8.180338206794136e-05,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL15'),KruskalEtaSquared,3.068810197676915e-05,,False
Classification | Tschuprowt + KruskalEta  (shipped),Numerical('KAPITAL16'),KruskalEtaSquared,2.7400240446859253e-05,,False
