name,dtype,status,selected,n_bins,woe,quality_score
ACTIVIT2,categorical,OPTIMAL,True,4,649.9338102082716,0.15985946258385142
VOCATION,categorical,OPTIMAL,True,5,814.0782538084175,0.007643357838204901
ADOSS,categorical,OPTIMAL,True,2,405.9680810841638,0.00914563525205822
CARACT1,categorical,OPTIMAL,True,3,466.344832522288,0.07296077015586669
CARACT3,categorical,OPTIMAL,True,1,366.50909026235854,0.05761335871979676
INDEM1,categorical,OPTIMAL,True,2,399.135673261766,0.028106473826402908
TYPBAT1,categorical,OPTIMAL,True,2,687.0382760316718,0.13604363193530544
INDEM2,categorical,OPTIMAL,True,5,680.0595236055486,0.0738146920088267
FRCH1,categorical,OPTIMAL,True,3,500.1079103329418,0.04876788210602156
FRCH2,categorical,OPTIMAL,True,4,561.0735495561321,0.02158644430850071
DEROG2,categorical,OPTIMAL,True,2,649.5179199866005,0.062137750378075306
DEROG4,categorical,OPTIMAL,True,2,445.2867580673981,0.07334250381148023
DEROG5,categorical,OPTIMAL,True,2,466.76908915079196,0.06064915863121579
DEROG12,categorical,OPTIMAL,True,1,290.989303645762,0.09140539211388368
KAPITAL34,categorical,OPTIMAL,True,2,385.43448145130935,0.011676849920404669
KAPITAL35,categorical,OPTIMAL,True,2,400.0346597312696,0.010876988846768151
KAPITAL37,categorical,OPTIMAL,True,2,669.0880600183823,0.08664452724828711
KAPITAL40,categorical,OPTIMAL,True,2,572.044230516641,0.4438914918707144
KAPITAL41,categorical,OPTIMAL,True,2,532.8187831377624,0.24471013048876838
KAPITAL42,categorical,OPTIMAL,True,2,537.5578107930144,0.07224218679873012
KAPITAL43,categorical,OPTIMAL,True,2,582.6382166011246,0.16160169924683368
RISK6,categorical,OPTIMAL,True,2,320.37549322959694,0.3187414350250899
RISK8,categorical,OPTIMAL,True,2,239.63441914031424,0.1272454668651372
RISK9,categorical,OPTIMAL,True,3,559.167519649883,0.15107982947943532
RISK10,categorical,OPTIMAL,True,3,508.93304902413126,0.5717674866017379
RISK11,categorical,OPTIMAL,True,3,609.0926488207763,0.15346869027090618
RISK12,categorical,OPTIMAL,True,3,454.6161297164707,0.08009924740716143
RISK13,categorical,OPTIMAL,True,3,408.6281785624918,0.10403765639326708
EQUIPEMENT2,categorical,OPTIMAL,True,3,345.0692163544543,0.2106069080996529
EQUIPEMENT5,categorical,OPTIMAL,True,1,205.97589638828526,0.08065278006381026
ESPINSEE,categorical,OPTIMAL,True,3,281.46555460883985,0.020882601930215218
AN_EXERC,categorical,OPTIMAL,True,5,576.8515255580645,0.011206023005481127
ZONE,categorical,OPTIMAL,True,5,1695.4783702448453,0.09321812879728017
ZONE_REGION,categorical,OPTIMAL,True,5,751.2910191817141,0.036077368939060855
LOG_AVA1_num,categorical,OPTIMAL,True,5,443.39900654581805,7.828368884397345e-05
LOG_A1_A2_num,categorical,OPTIMAL,True,3,290.1954264959983,0.021077052750958638
LOG_A2_A3_num,categorical,OPTIMAL,True,4,347.89059570220667,0.008351916246089018
LOG_APA3_num,categorical,OPTIMAL,True,5,494.611766919639,0.004737028183917592
LOG_INC_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
LOG_SOC_num,categorical,OPTIMAL,True,2,285.38612780436785,0.09059581504195426
LOG_TOT,categorical,OPTIMAL,True,5,505.6098378262732,0.055553765169836525
LOG_AVA1_num_LOG_TOT,categorical,OPTIMAL,True,5,1028.1325669005757,0.1674481193700462
LOG_A1_A2_num_LOG_TOT,categorical,OPTIMAL,True,5,784.8822861718857,0.16403492713663606
LOG_A2_A3_num_LOG_TOT,categorical,OPTIMAL,True,5,922.2593849279613,0.13969340952765827
LOG_APA3_num_LOG_TOT,categorical,OPTIMAL,True,5,973.3043746120164,0.2145062120487948
LOG_INC_num_LOG_TOT,categorical,OPTIMAL,True,5,505.6098378262732,0.055553765169836525
LOG_SOC_num_LOG_TOT,categorical,OPTIMAL,True,5,641.6168618798347,0.06007209320141862
LOG_VETUSTE,categorical,OPTIMAL,True,5,1400.979341138039,0.3312470917837281
LOG_REGION,categorical,OPTIMAL,True,5,1407.2425267464453,0.2926096562296738
LOG_VETUSTE_REGION,categorical,OPTIMAL,True,5,3284.8842072858315,0.12477549183569293
MEN_PAUV_num,categorical,OPTIMAL,True,3,286.9379463739827,0.04690809112254419
MEN_1IND_num,categorical,OPTIMAL,True,4,322.3990062328854,0.0032112705544404788
MEN_5IND_num,categorical,OPTIMAL,True,2,322.36988415890556,0.08516403666643795
MEN_PROP_num,categorical,OPTIMAL,True,4,312.1900023860534,0.007223802785671411
MEN_FMP_num,categorical,OPTIMAL,True,2,275.4043915202131,0.15126831436850688
MEN_COLL_num,categorical,OPTIMAL,True,5,432.6379502640707,0.002806345913063317
MEN_MAIS_num,categorical,OPTIMAL,True,5,411.67497812249843,0.0028351781128044384
MEN_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
MEN_TOT,categorical,OPTIMAL,True,5,636.1205011759081,0.09697603744156832
MEN_PAUV_MEN_TOT,categorical,OPTIMAL,True,5,897.5548745996886,0.24993062773878733
MEN_PAUV_MEN,categorical,OPTIMAL,True,3,287.5111577938388,0.04830723725527923
MEN_1IND_MEN_TOT,categorical,OPTIMAL,True,5,1083.0477151968757,0.2816752966968833
MEN_1IND_MEN,categorical,OPTIMAL,True,4,339.73588307682627,0.0039641955105021
MEN_5IND_MEN_TOT,categorical,OPTIMAL,True,5,677.0479377556521,0.13487356690732702
MEN_5IND_MEN,categorical,OPTIMAL,True,2,323.3664721078325,0.08633136673368237
MEN_PROP_MEN_TOT,categorical,OPTIMAL,True,5,1078.1792603475637,0.23272762608920325
MEN_PROP_MEN,categorical,OPTIMAL,True,4,327.17500646390465,0.010980939010513807
MEN_FMP_MEN_TOT,categorical,OPTIMAL,True,5,954.3322716108663,0.3148951042483045
MEN_FMP_MEN,categorical,OPTIMAL,True,2,276.906605517257,0.15630116104964445
MEN_COLL_MEN_TOT,categorical,OPTIMAL,True,5,1390.2584750335186,0.2542698756883861
MEN_COLL_MEN,categorical,OPTIMAL,True,5,510.79723407496533,0.0010051801737893935
MEN_MAIS_MEN_TOT,categorical,OPTIMAL,True,5,1390.2816234187148,0.2540262429809158
MEN_MAIS_MEN,categorical,OPTIMAL,True,5,489.64916666247456,0.0010761494502088517
MEN_MEN_TOT,categorical,OPTIMAL,True,5,641.171754326778,0.10731043682779819
MEN_REGION,categorical,OPTIMAL,True,5,2256.814854418437,0.05719012315432075
IND_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_0_Y1_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y2_Y3_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y3_Y4_num,categorical,OPTIMAL,True,2,259.0614281674589,0.03725878725435845
IND_Y4_Y5_num,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y5_Y6_num,categorical,OPTIMAL,True,3,452.2496612061639,0.038602908940004184
